연번,브랜드명,사업장명,사업자등록번호,대표자명,업종(중분류),업종(소분류),주소,직원수,임금(월),소재지,수평적 조직문화,순이익증가율,총자산순이익율,부채비율,총자본회전율,워라밸,자아실현,육아휴직,"사내 육아 
시설/서비스","근무안정성
(위험도)","사내 장애인
시설/서비스","근무안정성
(위험도)",수평적 조직 문화
2022-00203,신청기업,하이드로텍(주),5148149836,감병우,C.제조업(10~34),일반 목적용 기계 제조업,대구 달서구 성서로68길 3(갈산동),43,2685000,대구광역시,3.3,150.2,10.8,130.1,1.4,3.3,3.2,1,1,,0,0,3.3
2022-05629,이노비즈기업,하나케이(주),1268141511,원용한,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",폐기물 처리업,경기 이천시 대월면 양녕로 57,67,3458333.333,경기도,2,-26.5,8.2,39.5,1,1.7,2,0,0,,0,0,2
2022-15060,가족친화인증기업,프라임에셋(주),3148605946,이용진,K.금융 및 보험업(64~66),보험 및 연금관련 서비스업,"서울 광진구 아차산로 5632층 (광장동, 대한제지(주)사옥)",106,3747500,서울특별시,2.8,-26.4,6.2,130.5,3.3,3.3,2.8,1,0,,1,0,2.8
2022-00064,신청기업,티앤티 주식회사,4558700031,우태원,G.도매 및 소매업(45~47),"건축자재, 철물 및 난방장치 도매업",충청북도 음성군 삼성면 덕정로144번길 93-1(삼성면),14,3607500,충청북도,NA,27.4,16.7,51.6,1.6,NA,NA,1,0,,0,0,NA
2022-03788,이노비즈기업,티앤제이건설 주식회사,6168121003,"고태유,김지혜",F.건설업(41~42),건설업본사(소분류),전라북도 완주군 봉동읍(봉동읍) 낙평리383번지 1호,29,2809166.667,전라북도,4.6,-26.1,4.7,49.8,1,4,4.2,0,0,,0,0,4.6
2022-14742,가족친화인증기업,평택도시공사,1258173344,김재수,L.부동산업(68),부동산 임대 및 공급업,경기도 평택시 도일유통길 25(도일동),41,3165833.333,경기도,3.2,-23.1,0.7,182,0.1,3.4,3.3,0,0,,1,0,3.2
2022-00044,신청기업,태림전자주식회사,1238114280,우상현,C.제조업(10~34),통신 및 방송 장비 제조업,경기 안양시 만안구 전파로 44(안양동),51,2416666.667,경기도,3,-29.7,11.2,16.5,1.6,3,3,0,0,,1,0,3
2022-00098,신청기업,태림인더스트리(주),4128112940,임은태,C.제조업(10~34),그 외 기타 제품 제조업,전라남도 나주시 남평읍 동촌로 19(남평읍),43,3462500,전라남도,3.4,243.6,26.9,32.5,1.1,3.2,3.2,1,1,,0,0,3.4
2022-08663,이노비즈기업,탄용환경개발 주식회사,3038129341,신동협,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",폐기물 처리업,충북 충주시 대소원면 창현로 911(탄용환경),34,3070000,충청북도,NA,3,13.7,22.9,0.5,NA,NA,1,1,,1,0,NA
2022-00464,신청기업,큐익스프레스(주),1098619926,김영선,H.운수 및 창고업(49~52),기타 운송관련 서비스업,"서울특별시 강서구 강서로 463(마곡동, 새싹타워) 7층",80,3034166.667,서울특별시,2.4,NA,-30.3,24130.9,4.2,2.6,2,0,0,,1,0,2.4
2022-04167,이노비즈기업,켐가스코리아(주),3038143270,장영상,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",연료용 가스 제조 및 배관공급업,충북 음성군 원남면 원남산단로 226켐가스코리아(주),18,4310000,충청북도,3.3,7.7,8.4,52.4,2.2,3.7,2.3,0,0,,1,0,3.3
2022-00694,신청기업,케이티아이시시(주),1068602969,강두성,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",산업용 기계 및 장비 수리업,서울 구로구 디지털로33길 27708호 (구로동),58,3505833.333,서울특별시,2,-68,10.2,20.6,0.7,2,2.3,0,0,,1,0,2
2022-00013,신청기업,케이에이치필룩스 주식회사,1278107398,한우근,C.제조업(10~34),전자부품 제조업,경기 양주시 광적면 광적로 235-48,144,2416666.667,경기도,2.1,NA,-2.3,23.4,0.2,2.7,2.3,1,0,,0,0,2.1
2022-06119,이노비즈기업,케이씨바이오자원 주식회사,4038146198,김상철,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",폐기물 처리업,전북 익산시 하나로 48-26(금강동),17,2921666.667,전라북도,NA,NA,-6.6,620.5,0.5,NA,NA,0,0,,1,0,NA
2022-00101,신청기업,카리스,1268671117,박우섭,G.도매 및 소매업(45~47),생활용품 도매업,경기도 성남시 분당구 황새울로335번길 57층 (서현동 앤타운빌딩 ),99,2250000,경기도,2.3,25.9,49.7,55.4,1.8,2.3,2.7,1,1,,0,0,2.3
